date,India_infected,India_Relativecases,India_vaccinationRate,Germany_infected,Germany_Relativecases,Germany_vaccinationRate,Spain_infected,Spain_Relativecases,Spain_vaccinationRate
2020-03-16,119.0,8.540205867891772e-08,,6012.0,7.165633194121163e-05,,9942.0,0.0002126848887258205,
2020-03-17,142.0,1.0190833892778417e-07,,7156.0,8.529153549090327e-05,,11748.0,0.0002513198624774632,
2020-03-18,156.0,1.1195563994883331e-07,,8198.0,9.771101284997553e-05,,13910.0,0.0002975705896375139,
2020-03-19,194.0,1.3922688557739527e-07,,10999.0,0.00013109580755512088,,17963.0,0.00038427465863829347,
2020-03-20,244.0,1.7511010350971366e-07,,13957.0,0.00016635186708308228,,20410.0,0.0004366222670382213,
2020-03-21,330.0,2.3682923835330125e-07,,16662.0,0.0001985924489029388,,25374.0,0.0005428149634408539,
2020-03-22,396.0,2.841950860239615e-07,,18610.0,0.00022181043536692423,,28768.0,0.0006154213316097771,
2020-03-23,499.0,3.581145149645373e-07,,22672.0,0.00027022494307570694,,35136.0,0.0007516491903309624,
2020-03-24,536.0,3.8466809623445294e-07,,27436.0,0.00032700650750816404,,39885.0,0.0008532424850964947,
2020-03-25,657.0,4.715054836306634e-07,,31554.0,0.0003760884727333652,,49515.0,0.0010592528933070812,
2020-03-26,727.0,5.217419887359091e-07,,36508.0,0.00043513462516795646,,57786.0,0.001236190804658043,
2020-03-27,887.0,6.365682861193279e-07,,42288.0,0.0005040257759697201,,65719.0,0.0014058980287841678,
2020-03-28,987.0,7.083347219839646e-07,,48582.0,0.0005790432332614677,,73235.0,0.0015666845529908936,
2020-03-29,1024.0,7.348883032538802e-07,,52547.0,0.0006263016092007398,,80110.0,0.001713758442549334,
2020-03-30,1251.0,8.977981126666057e-07,,57298.0,0.000682928228138314,,87956.0,0.0018816045134548648,
2020-03-31,1397.0,1.0025771090289753e-06,,61913.0,0.0007379338788217291,,95923.0,0.0020520390848166245,
2020-04-01,1998.0,1.433893388575442e-06,,67366.0,0.0008029275544829778,,104118.0,0.0022273511611702853,
2020-04-02,2543.0,1.8250204640377122e-06,,73522.0,0.0008763002057521227,,112065.0,0.002397357881216966,
2020-04-03,2567.0,1.842244408645225e-06,,79696.0,0.0009498873969372592,,119199.0,0.0025499724453056805,
2020-04-04,3082.0,2.2118415533481043e-06,,85778.0,0.001022378050773994,,126168.0,0.002699057236044993,
2020-04-05,3588.0,2.5749797188231663e-06,,91714.0,0.0010931285475143519,,131646.0,0.0028162457112451585,
2020-04-06,4778.0,3.4290003056123437e-06,,95391.0,0.0011369542847977576,,136675.0,0.002923828924421798,
2020-04-07,5311.0,3.8115154087708574e-06,,99225.0,0.0011826512869039794,,141942.0,0.0030365035682478787,
2020-04-08,5916.0,4.24570234575191e-06,,103228.0,0.0012303625804436784,,148220.0,0.003170806096051208,
2020-04-09,6725.0,4.826292811896821e-06,,108202.0,0.0012896471105627047,,153222.0,0.003277811709952491,
2020-04-10,7598.0,5.4528137969951e-06,,113525.0,0.0013530913312751248,,158273.0,0.003385865559575718,
2020-04-11,8446.0,6.061393173127219e-06,,117658.0,0.0014023520797636524,,163027.0,0.0034875658171700198,
